nome,eleito
JÉSSICA ROJAS SALES,1
FLAVIANO FLÁVIO BAPTISTA DE MELO,1
ALAN RICK MIRANDA,1
CARLOS CESAR CORREIA DE MESSIAS,1
WHERLES FERNANDES DA ROCHA,1
LEONARDO CUNHA DE BRITO,1
RAIMUNDO ANGELIM VASCONCELOS,1
SEBASTIÃO SIBÁ MACHADO OLIVEIRA,1
RONALDO AUGUSTO LESSA SANTOS,1
MARX BELTRÃO LIMA SIQUEIRA,1
ARTHUR CESAR PEREIRA DE LIRA,1
MAURÍCIO QUINTELLA MALTA LESSA,1
GIVALDO DE SÁ GOUVEIA CARIMBÃO,1
JOSE CICERO SOARES DE ALMEIDA,1
PEDRO TORRES BRANDÃO VILELA,1
PAULO FERNANDO DOS SANTOS,1
JOÃO HENRIQUE HOLANDA CALDAS,1
PAUDERNEY TOMAZ AVELINO,1
MARCOS SERGIO ROTTA,1
MARIA DA CONCEIÇÃO SAMPAIO MOURA,1
HISSA NAGIB ABRAHÃO FILHO,1
ALFREDO PEREIRA DO NASCIMENTO,1
ATILA SIDNEY LINS DE ALBUQUERQUE,1
SILAS CAMARA,1
ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,1
ANTÔNIO ROBERTO RODRIGUES GÓES DA SILVA,1
LUIZ GIONILSON PINHEIRO BORGES,1
VINÍCIUS DE AZEVEDO GURGEL,1
ANDRÉ DOS SANTOS ABDON,1
JANETE MARIA GÓES CAPIBERIBE,1
MARCOS JOSE REATEGUI SOUZA,1
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,1
JOZIANE ARAUJO NASCIMENTO ROCHA,1
CLAUDIO CAJADO SAMPAIO,1
ELMAR JOSÉ VIEIRA NASCIMENTO,1
JOSÉ CARLOS ALELUIA COSTA,1
PAULO VELLOSO DANTAS AZI,1
ALICE MAZZUCO PORTUGAL,1
DANIEL GOMES DE ALMEIDA,1
FELIX DE ALMEIDA MENDONÇA JUNIOR,1
LUCIO QUADROS VIEIRA LIMA,1
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,1
MÁRIO SÍLVIO MENDES NEGROMONTE JÚNIOR,1
ROBERTO PEREIRA DE BRITTO,1
RONALDO CARLETTO,1
JOÃO CARLOS PAOLILO BACELAR FILHO,1
JOSÉ ALVES ROCHA,1
ERONILDES VASCONCELOS CARVALHO,1
MÁRCIO CARLOS MARINHO,1
ADALBERTO SOUZA GALVAO,1
ANTONIO LAZARO SILVA,1
ERIVELTON LIMA SANTANA,1
JOSÉ CARLOS LEÃO DE ARAUJO,1
JOSÉ NUNES SOARES,1
PAULO SERGIO PARANHOS DE MAGALHÃES,1
SERGIO LUIS LACERDA BRITO,1
ANTONIO JOSÉ IMBASSAHY DA SILVA,1
JOÃO GUALBERTO VASCONCELOS,1
JUTAHY MAGALHÃES JUNIOR,1
MOEMA ISABEL PASSOS GRAMACHO,1
AFONSO BANDEIRA FLORENCE,1
JORGE JOSÉ SANTOS PEREIRA SOLLA,1
JOSIAS GOMES DA SILVA,1
LUIZ CARLOS CAETANO,1
NELSON VICENTE PORTELA PELLEGRINO,1
VALMIR CARLOS DA ASSUNÇÃO,1
WALDENOR ALVES PEREIRA FILHO,1
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,1
BENITO DA GAMA SANTOS,1
ULDURICO ALENCAR PINTO,1
JOAO CARLOS BACELAR BATISTA,1
ARTHUR DE OLIVEIRA MAIA DA SILVA,1
MORONI BING TORGAN,1
FRANCISCO LOPES DA SILVA,1
ANDRE PEIXOTO FIGUEIREDO LIMA,1
JOSE ADAIL CARNEIRO SILVA,1
ANIBAL FERREIRA GOMES,1
FRANCISCO DANILO BASTOS FORTE,1
VITOR PEREIRA VALIM,1
MOSES HAENDEL MELO RODRIGUES,1
MARIA GORETE PEREIRA,1
FLAVIO ALVES SABINO,1
RONALDO MANCHADO MARTINS,1
ANTONIO BALHMANN CARDOSO NUNES FILHO,1
DOMINGOS GOMES DE AGUIAR NETO,1
JOSE LEONIDAS DE MENEZES CRISTINO,1
